39622.3 118867 198112 277356 
1 0 0 0 0 
1 0 0 0 0 
1 0 0 0 0 
0.996249 0.00375062 0 0 0 
0.986605 0.0133951 0 0 0 
0.977066 0.020384 0.00254958 0 0 
0.96757 0.0251392 0.00729047 0 0 
0.958104 0.0299 0.00917686 0.00281925 0 
0.948644 0.0346834 0.0107258 0.00508572 0.000860601 
0.939217 0.0394475 0.0122747 0.00582565 0.00323476 
